City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,fuglafjordur,62.244,-6.814,9.26,70,89,1.82,FO,1691649087
242,east london,-33.0153,27.9116,17.52,72,0,4.12,ZA,1691649087
243,nichinan,31.6,131.3667,28.82,86,100,4.14,JP,1691649087
244,fort bragg,35.139,-79.006,26.01,78,75,2.57,US,1691649087
245,el porvenir,13.7617,-87.3458,23.63,77,92,1.48,HN,1691649087
246,jamestown,42.097,-79.2353,21.77,92,20,2.57,US,1691649088
247,timbuktu,16.7735,-3.0074,31.11,47,99,6.4,ML,1691649088
248,chanal,16.7167,-92.4,13.56,96,11,0.53,MX,1691649088
249,kalaoa,19.7286,-155.9817,25.11,78,40,3.09,US,1691649088
250,mugia,43.1041,-9.2179,21.06,92,31,7.38,ES,1691649089
251,yacuiba,-22.038,-63.6797,13.46,62,0,1.6,BO,1691649089
252,tqvarch'eli,42.8404,41.6801,31.11,59,82,2.1,GE,1691649089
253,miri,4.4148,114.0089,33.08,75,40,3.09,MY,1691649089
254,pisco,-13.7,-76.2167,18.03,82,100,1.54,PE,1691649089
255,atafu village,-8.5421,-172.5159,27.87,80,93,6.06,TK,1691649090
256,okha,53.5739,142.9478,14.63,81,100,4.64,RU,1691649090
257,porto torres,40.835,8.3972,19.1,78,1,3.38,IT,1691649090
258,uniao da vitoria,-26.23,-51.0864,14.03,100,100,0.85,BR,1691649090
259,fray luis beltran,-39.3167,-65.7667,12.12,48,94,3.8,AR,1691649090
260,newman,37.3138,-121.0208,23.13,59,0,2.67,US,1691649091
261,dudinka,69.4058,86.1778,19.79,51,100,10.94,RU,1691649091
262,misratah,32.3754,15.0925,25.98,58,3,0.98,LY,1691649091
263,beruniy,41.6911,60.7525,33.98,29,0,6.17,UZ,1691649091
264,leninskiy,54.2781,37.4558,21.42,53,7,2.92,RU,1691649092
265,bubaque,11.2833,-15.8333,26.12,84,100,3.6,GW,1691649092
266,horta,38.5333,-28.6333,20.01,86,20,2.24,PT,1691649092
267,christchurch,-43.5333,172.6333,6.11,77,75,6.17,NZ,1691649010
268,nuku'alofa,-21.1333,-175.2,22.19,94,75,3.6,TO,1691649093
269,hanzhong,33.0728,107.0303,32.89,64,13,1.64,CN,1691649093
270,zhelezinka,53.54,75.3072,29.42,24,75,3.89,KZ,1691649093
271,libreville,0.3925,9.4537,24.01,88,40,4.63,GA,1691649093
272,ilabaya,-17.4208,-70.5133,17.13,50,2,1.44,PE,1691649094
273,xinyuan,37.3,99.0,14.61,81,100,0.7,CN,1691649094
274,lagunas,-5.2269,-75.6753,23.13,92,84,0.62,PE,1691649094
275,mutare,-18.9707,32.6709,13.26,82,100,1.55,ZW,1691649094
276,san antonio de pale,-1.4014,5.6325,23.76,80,100,4.74,GQ,1691649094
277,tha khanon,9.0302,98.9529,34.45,43,88,4.3,TH,1691649095
278,nellore,14.4333,79.9667,36.31,38,85,6.51,IN,1691648883
279,juan griego,11.0817,-63.9655,27.07,89,100,3.6,VE,1691649095
280,salalah,17.0151,54.0924,27.05,89,100,5.14,OM,1691649095
281,courtenay,49.6866,-124.9936,17.96,85,100,1.03,CA,1691649096
282,hemsby,52.6971,1.6918,18.3,87,70,2.81,GB,1691649096
283,argo,37.6333,22.7333,26.55,48,0,1.07,GR,1691649096
284,colonia,50.9333,6.95,15.23,78,0,1.03,DE,1691648836
285,termoli,41.9888,14.9895,25.87,45,11,2.77,IT,1691649097
286,nizhneudinsk,54.9076,99.0276,20.41,72,100,2.4,RU,1691649098
287,klyuchi,52.2667,79.1667,31.05,26,100,4.49,RU,1691649098
288,tolanaro,-25.0319,46.9987,20.4,83,100,4.48,MG,1691649098
289,asosa,10.0667,34.5333,20.76,73,100,0.87,ET,1691649098
290,castillos,-34.1667,-53.8333,15.18,91,100,4.74,UY,1691649098
291,bel ombre,-4.6167,55.4167,27.91,74,40,4.63,SC,1691649099
292,dumas,35.8656,-101.9732,20.3,68,0,3.09,US,1691649099
293,kikwit,-5.041,18.8162,28.55,44,52,1.99,CD,1691649099
294,constitucion,-35.3333,-72.4167,11.03,94,54,4.17,CL,1691649099
295,maun,-19.9833,23.4167,14.98,47,0,9.77,BW,1691648960
296,black river,18.0264,-77.8487,26.93,82,37,1.08,JM,1691649100
297,naze,28.3667,129.4833,29.51,79,84,4.6,JP,1691649100
298,mirny,62.5353,113.9611,27.91,37,19,4.02,RU,1691648875
299,longjiang,47.3303,123.1836,22.89,76,100,3.1,CN,1691649101
300,broome,42.2506,-75.833,18.63,88,90,1.28,US,1691648867
301,quellon,-43.1167,-73.6167,9.14,100,100,3.09,CL,1691649076
302,beloyarskiy,63.7119,66.6722,19.43,43,33,5.92,RU,1691649101
303,labytnangi,66.6572,66.4183,19.74,43,32,5.19,RU,1691649102
304,sao paulo de olivenca,-3.3783,-68.8725,22.6,97,52,0.48,BR,1691649102
305,nema,57.5067,50.5011,26.33,49,6,2.29,RU,1691649102
306,mahdia,35.5047,11.0622,25.97,47,0,3.74,TN,1691649102
307,cidreira,-30.1811,-50.2056,16.01,97,100,3.88,BR,1691649103
308,faya-largeau,17.9257,19.1043,28.94,61,0,0.0,TD,1691649103
309,moratuwa,6.773,79.8816,31.01,71,81,4.14,LK,1691649103
310,port lincoln,-34.7333,135.8667,13.76,60,47,3.32,AU,1691649103
311,padangsidempuan,1.3667,99.2667,25.54,93,100,1.47,ID,1691649103
312,greymouth,-42.4667,171.2,3.23,87,71,2.24,NZ,1691649104
313,mwingi,-0.9344,38.0601,22.55,48,52,4.57,KE,1691649104
314,cerro de ortega,18.75,-103.7667,25.26,73,40,1.72,MX,1691649104
315,garachico,28.7781,-17.7646,22.06,78,0,7.2,ES,1691649104
316,airdrie,55.866,-3.9803,17.1,92,100,0.87,GB,1691649104
317,sinan,34.8262,126.1086,26.06,81,20,9.11,KR,1691649105
318,walvis bay,-22.9575,14.5053,14.53,88,100,5.66,NA,1691649105
319,tidjikja,18.5564,-11.4271,27.98,40,6,5.88,MR,1691649105
320,khanty-mansiysk,61.0042,69.0019,18.06,48,20,3.13,RU,1691649106
321,gereida,11.2811,25.1414,26.86,65,99,3.64,SD,1691649106
322,chos malal,-37.3781,-70.2709,6.66,77,80,6.28,AR,1691649106
323,pederneiras,-22.3517,-48.775,16.93,95,30,1.85,BR,1691649106
324,sealy,29.7808,-96.1572,29.18,86,20,1.79,US,1691649002
325,zhezqazghan,47.7833,67.7667,25.32,53,40,2.0,KZ,1691649107
326,korpilahti,62.0167,25.55,18.07,62,0,4.02,FI,1691649107
327,igrim,63.1906,64.4162,18.77,46,77,5.45,RU,1691649107
328,roma,43.2128,-75.4557,18.82,94,0,0.0,US,1691648995
329,eyl,7.9803,49.8164,30.95,45,7,11.83,SO,1691649108
330,mar del plata,-38.0023,-57.5575,11.64,95,100,3.6,AR,1691649007
331,akkus,40.7931,37.0164,20.33,78,56,0.85,TR,1691649108
332,malvan,16.0667,73.4667,28.35,74,35,4.5,IN,1691649108
333,constantia,44.1833,28.65,22.61,58,100,7.67,RO,1691649109
334,yanykurgan,43.915,67.2481,36.08,18,0,5.84,KZ,1691649109
335,monte santo,-10.4378,-39.3328,15.9,98,56,1.45,BR,1691649109
336,puerto real,36.5282,-6.1901,23.67,94,0,0.0,ES,1691649110
337,las vegas,36.175,-115.1372,34.38,25,0,8.23,US,1691649063
